Product Name,group_id,product_id,Quantity,Latest Price,Total Value
Surging Sparks Elite Trainer Box,23651,565630,2.0,77.57,155.14
Paldea Evolved Elite Trainer Box,23120,493974,1.0,123.46,123.46
Brilliant Stars Elite Trainer Box,2948,256138,1.0,108.66,108.66
Lost Origin Elite Trainer Box,3118,277335,2.0,144.91,289.82
151: Zapdos ex Collection,23237,502007,1.0,65.54,65.54
Paldean Fates Booster Bundle,23353,528771,2.0,97.2,194.4
Prismatic Evolutions Elite Trainer Box,23821,593355,4.0,124.2,496.8
Blooming Waters Premium Collection,2374,609597,4.0,193.46,773.84
Shrouded Fable Pokemon Center Elite Trainer Box (Exclusive),23529,552998,1.0,119.22,119.22
151 Booster Bundle,23237,502000,6.0,108.66,651.96
Prismatic Evolutions Surprise Box,23821,593466,1.0,43.5,43.5
Prismatic Evolutions Booster Bundle,23821,600518,8.0,64.35,514.8
Surging Sparks Booster Bundle,23651,565629,2.0,43.01,86.02
Journey Together Pokemon Center Elite Trainer Box (Exclusive),24073,610929,1.0,137.59,137.59
151 Poster Collection,23237,502001,1.0,44.01,44.01
Prismatic Evolutions Accessory Pouch Special Collection,23821,606881,1.0,49.81,49.81
Destined Rivals Booster Bundle,24269,625670,6.0,51.08,306.48
Destined Rivals Premium Checklane Blister [Rabsca],24269,628396,1.0,14.85,14.85
Destined Rivals Premium Checklane Blister [Gastrodon],24269,628395,1.0,16.18,16.18
Surging Sparks Booster Pack,23651,565604,4.0,6.53,26.12
Black Bolt Pokemon Center Elite Trainer Box (Exclusive),24325,630687,1.0,173.74,173.74
White Flare Pokemon Center Elite Trainer Box (Exclusive),24326,630688,1.0,147.8,147.8
White Flare Booster Bundle,24326,630696,3.0,51.7,155.10000000000002
Black Bolt Booster Bundle,24325,630431,2.0,53.75,107.5
Mega Evolution Booster Bundle,24380,644362,2.0,45.16,90.32
"2 Pack Blister [Tornadus, Thundurus & Landorus]",2374,634329,2.0,21.11,42.22
Greninja EX & Kingdra EX Special Collection Box,2374,656950,2.0,41.31,82.62
Snorlax ex & Blissey ex Special Collection,2374,662770,3.0,45.22,135.66
Phantasmal Flames Pokemon Center Elite Trainer Box (Exclusive),24448,654135,2.0,183.04,366.08
Mega Charizard X ex Ultra Premium Collection,2374,654213,3.0,143.21,429.63
Stellar Crown Pokemon Center Elite Trainer Box (Exclusive),23537,557340,1.0,114.21,114.21
Paldean Fates Great Tusk ex & Iron Treads ex Premium Collection,23353,665113,2.0,135.38,270.76
Paradox Rift Booster Pack,23286,512822,6.0,6.45,38.7
Destined Rivals Sleeved Booster Pack,24269,624684,12.0,7.78,93.36
Phantasmal Flames Sleeved Booster Pack,24448,654145,4.0,7.4,29.6
Phantasmal Flames Booster Bundle,24448,654160,1.0,43.37,43.37
Phantasmal Flames Booster Box,24448,654137,1.0,247.76,247.76
